Date,Sales,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30,DayOfWeek,DayOfMonth,WeekOfYear,DayOfYear,Year,DoW_sin,DoW_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30,lag_365,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_60,rolling_std_60,Days_Since_Start,Trend,is_black_friday,is_christmas,is_new_year,is_holiday,lag_7_14_avg,lag_7_21_avg
2012-07-01,19532,12,89,10.56,,89.0,7,1,7,3,183,0,0,0,0,0,0,79.5244319775596,79.78630834512022,80.05845714285714,79.61981006263892,40.10204256232544,79.59954191033138,6,1,26,183,2012,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,-0.008606996888688009,-0.9999629591162655,,,,,,,,19532.0,,19532.0,,19532.0,,19532.0,,0,0.0,0,0,0,0,,
2012-07-02,25403,7,79,9.17,,79.0,1,0,7,3,184,0,0,0,0,0,0,89.0,79.78630834512022,80.05845714285714,79.61981006263892,40.10204256232544,79.59954191033138,0,2,27,184,2012,0.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.02581844022713239,-0.9996666485105112,19532.0,,,,,,,22467.5,4151.42391234622,22467.5,4151.42391234622,22467.5,4151.42391234622,22467.5,4151.42391234622,1,0.0014005602240896359,0,0,0,0,,
2012-07-03,17711,7,97,9.49,,97.0,2,0,7,3,185,0,0,0,0,0,0,79.0,79.78630834512022,80.05845714285714,79.61981006263892,40.10204256232544,79.59954191033138,1,3,27,185,2012,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,-0.04302223300453034,-0.99907411510223,25403.0,19532.0,,,,,,20882.0,4019.7749937030057,20882.0,4019.7749937030057,20882.0,4019.7749937030057,20882.0,4019.7749937030057,2,0.0028011204481792717,0,0,0,0,,
2012-07-04,23336,8,95,10.69,,95.0,3,0,7,3,186,0,0,0,0,0,0,97.0,79.78630834512022,80.05845714285714,79.61981006263892,40.10204256232544,79.59954191033138,2,4,27,186,2012,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,-0.060213277365792774,-0.9981855344718586,17711.0,25403.0,19532.0,,,,,21495.5,3503.986729426925,21495.5,3503.986729426925,21495.5,3503.986729426925,21495.5,3503.986729426925,3,0.004201680672268907,0,0,0,0,,
2012-07-05,22879,8,81,10.39,,81.0,4,0,7,3,187,0,0,0,0,0,0,95.0,79.78630834512022,80.05845714285714,79.61981006263892,40.10204256232544,79.59954191033138,3,5,27,187,2012,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,-0.07738647923346322,-0.9970011699250151,23336.0,17711.0,25403.0,,,,,21772.2,3096.975411591122,21772.2,3096.975411591122,21772.2,3096.975411591122,21772.2,3096.975411591122,4,0.0056022408963585435,0,0,0,0,,
2012-07-06,20918,13,92,12.76,,92.0,5,0,7,3,188,0,0,0,0,0,0,81.0,79.78630834512022,80.05845714285714,79.61981006263892,40.10204256232544,79.59954191033138,4,6,27,188,2012,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,-0.09453674981719933,-0.9955213724144752,22879.0,23336.0,17711.0,,,,,21629.833333333332,2791.8837666827512,21629.833333333332,2791.8837666827512,21629.833333333332,2791.8837666827512,21629.833333333332,2791.8837666827512,5,0.0070028011204481795,0,0,0,0,,
2012-07-07,21308,13,137,8.93,,137.0,6,1,7,3,189,0,0,0,0,0,0,92.0,79.78630834512022,80.05845714285714,79.61981006263892,40.10204256232544,79.59954191033138,5,7,27,189,2012,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,-0.11165900712169444,-0.9937465804361781,20918.0,22879.0,23336.0,,,,,21583.85714285714,2551.530745034663,21583.85714285714,2551.530745034663,21583.85714285714,2551.530745034663,21583.85714285714,2551.530745034663,6,0.008403361344537815,0,0,0,0,,
2012-07-08,22472,10,90,11.73,,90.0,7,1,7,3,190,0,0,0,0,0,0,137.0,89.0,80.05845714285714,95.71428571428572,19.414035178312663,79.59954191033138,6,8,27,190,2012,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,-0.12874817745258066,-0.99167731989929,21308.0,20918.0,22879.0,19532.0,,,,22003.85714285714,2394.637580690895,21694.875,2383.0368642613507,21694.875,2383.0368642613507,21694.875,2383.0368642613507,7,0.00980392156862745,0,0,0,0,,
2012-07-09,20388,7,66,9.87,,66.0,1,0,7,3,191,0,0,0,0,0,0,90.0,79.0,80.05845714285714,95.85714285714286,19.359998032270656,79.59954191033138,0,9,28,191,2012,0.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.14579919691987442,-0.9893142039703664,22472.0,21308.0,20918.0,25403.0,,,,21287.428571428572,1909.1738053534102,21549.666666666668,2271.293849329056,21549.666666666668,2271.293849329056,21549.666666666668,2271.293849329056,8,0.011204481792717087,0,0,0,0,,
2012-07-10,18678,5,66,7.4,,66.0,2,0,7,3,192,0,0,0,0,0,0,66.0,97.0,80.05845714285714,94.0,21.725560982400427,79.59954191033138,1,10,28,192,2012,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,-0.16280701293851646,-0.9866579328916572,20388.0,22472.0,21308.0,17711.0,,,,21425.571428571428,1620.4093985927198,21262.5,2325.9891205439653,21262.5,2325.9891205439653,21262.5,2325.9891205439653,9,0.012605042016806723,0,0,0,0,,
