Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2012-07-01,35,319,9.76,No,74455,319.0,7,1,7,3,183,0,0,0,0,0,0,,,,,,
2012-07-02,22,285,8.47,No,74705,285.0,1,0,7,3,184,0,0,0,0,0,0,319.0,,,,,
2012-07-03,26,346,8.77,No,66793,346.0,2,0,7,3,185,0,0,0,0,0,0,285.0,,,,,
2012-07-04,30,341,9.88,No,78958,341.0,3,0,7,3,186,0,0,0,0,0,0,346.0,,,,,
2012-07-05,29,290,9.6,No,67374,290.0,4,0,7,3,187,0,0,0,0,0,0,341.0,,,,,
2012-07-06,45,328,11.79,No,80129,328.0,5,0,7,3,188,0,0,0,0,0,0,290.0,,,,,
2012-07-07,41,489,8.25,No,79426,489.0,6,1,7,3,189,0,0,0,0,0,0,328.0,,,,,
2012-07-08,39,322,10.84,No,81983,322.0,7,1,7,3,190,0,0,0,0,0,0,489.0,319.0,,342.57142857142856,68.68007266269004,
2012-07-09,24,233,9.12,No,81009,233.0,1,0,7,3,191,0,0,0,0,0,0,322.0,285.0,,343.0,68.51763763197523,
2012-07-10,19,233,6.84,No,67071,233.0,2,0,7,3,192,0,0,0,0,0,0,233.0,346.0,,335.57142857142856,78.0146506387468,
2012-07-11,29,249,10.78,No,86437,249.0,3,0,7,3,193,0,0,0,0,0,0,233.0,341.0,,319.42857142857144,86.70420432492908,
2012-07-12,46,270,8.87,No,92355,270.0,4,0,7,3,194,0,0,0,0,0,0,249.0,290.0,,306.2857142857143,89.80667066113797,
2012-07-13,45,281,7.49,No,80387,281.0,5,0,7,3,195,0,0,0,0,0,0,270.0,328.0,,303.42857142857144,90.72459633942928,
2012-07-14,40,364,9.59,No,82752,364.0,6,1,7,3,196,0,0,0,0,0,0,281.0,489.0,,296.7142857142857,90.34141590971129,
2012-07-15,44,276,6.94,No,77308,276.0,7,1,7,3,197,0,0,0,0,0,0,364.0,322.0,319.0,278.85714285714283,48.80378595774648,
2012-07-16,19,236,9.42,No,71923,236.0,1,0,7,3,198,0,0,0,0,0,0,276.0,233.0,285.0,272.2857142857143,44.97300777768192,
2012-07-17,26,247,7.49,No,57302,247.0,2,0,7,3,199,0,0,0,0,0,0,236.0,233.0,346.0,272.7142857142857,44.548528915907404,
2012-07-18,18,258,6.23,No,78192,258.0,3,0,7,3,200,0,0,0,0,0,0,247.0,249.0,341.0,274.7142857142857,42.74620562386917,
2012-07-19,31,286,8.8,No,77528,286.0,4,0,7,3,201,0,0,0,0,0,0,258.0,270.0,290.0,276.0,41.972213030368984,
2012-07-20,42,285,8.31,No,73533,285.0,5,0,7,3,202,0,0,0,0,0,0,286.0,281.0,328.0,278.2857142857143,42.02663554506956,
2012-07-21,41,399,6.69,No,76333,399.0,6,1,7,3,203,0,0,0,0,0,0,285.0,364.0,489.0,278.85714285714283,42.09682716242242,
2012-07-22,43,290,6.01,No,61181,290.0,7,1,7,3,204,0,0,0,0,0,0,399.0,276.0,322.0,283.85714285714283,54.226157806691404,
2012-07-23,31,241,7.88,No,74311,241.0,1,0,7,3,205,0,0,0,0,0,0,290.0,236.0,233.0,285.85714285714283,54.14618660450182,
2012-07-24,34,240,6.68,No,73508,240.0,2,0,7,3,206,0,0,0,0,0,0,241.0,247.0,233.0,286.57142857142856,53.40679464530448,
2012-07-25,29,266,6.1,No,76533,266.0,3,0,7,3,207,0,0,0,0,0,0,240.0,258.0,249.0,285.57142857142856,54.32880495298104,
2012-07-26,32,272,10.71,No,58962,272.0,4,0,7,3,208,0,0,0,0,0,0,266.0,286.0,270.0,286.7142857142857,53.73302611279309,
